taxon int_1 int_2 int_3
t1 656 28 33
t2 0 0 0
t3 0 0 0
t4 0 0 0
t5 0 0 0
t6 0 0 0
t8 0 0 0
t9 0 0 0
t10 0 0 0
t13 0 0 0
t14 0 0 0
t15 0 0 0
t16 0 0 0
t17 0 0 0
t18 0 0 0
t19 0 0 0
t20 0 0 0
t21 0 0 0
t24 0 0 0
t25 0 0 0
t30 0 0 0
t32 0 0 0
t33 0 0 0
t34 0 0 0
t35 0 0 0
t37 0 0 0
t38 0 0 0
t42 0 0 0
t43 0 0 0
t45 0 0 0
t46 0 0 0
t48 0 0 0
t49 0 0 0
t50 0 0 0
t52 0 0 0
t53 0 0 0
t54 0 0 0
t55 0 0 0
t56 0 0 0
t59 0 0 0
t60 0 0 0
t61 0 0 0
t62 0 0 0
t63 0 0 0
t65 0 0 0
t66 0 0 0
t68 0 0 0
t71 0 0 0
t72 0 0 0
t73 0 0 0
t75 0 0 0
t76 0 0 0
t78 0 0 0
t79 0 0 0
t80 0 0 0
t81 0 0 0
t82 0 0 0
t83 0 0 0
t85 0 0 0
t86 0 0 0
t87 0 0 0
t88 0 0 0
t89 0 0 0
t90 0 0 0
t92 0 0 0
t93 0 0 0
t94 0 0 0
t95 0 0 0
t96 0 0 0
t97 0 0 0
t98 0 0 0
t99 0 0 0
t100 0 0 0
t101 0 0 0
t102 0 0 0
t105 0 0 0
t106 0 0 0
t107 0 0 0
t108 0 0 0
t109 0 0 0
t110 0 0 0
t111 0 0 0
t116 0 0 0
t117 0 0 0
t119 0 0 0
t121 0 0 0
t127 0 0 0
t129 0 0 0
t130 0 0 0
t132 0 0 0
t133 0 0 0
t134 0 0 0
t135 0 0 0
t138 0 0 0
t139 0 0 0
t140 0 0 0
t141 0 0 0
t142 0 0 0
t147 0 0 0
t148 0 0 0
t149 0 0 0
t150 0 0 0
t151 0 0 0
t154 0 0 0
t156 0 0 0
t157 0 0 0
t158 0 0 0
t159 0 0 0
t160 0 0 0
t161 0 0 0
t163 0 0 0
t166 0 0 0
t168 0 0 0
t169 0 0 0
t172 0 0 0
t173 0 0 0
t175 0 0 0
t177 0 0 0
t178 0 0 0
t179 0 0 0
t180 0 0 0
t181 0 0 0
t182 0 0 0
t185 0 0 0
t186 0 0 0
t188 0 0 0
t189 0 0 0
t191 0 0 0
t192 0 0 0
t193 0 0 0
t196 0 0 0
t197 0 0 0
t199 0 0 0
t205 0 0 0
t206 0 0 0
t207 0 0 0
t208 0 0 0
t209 0 0 0
t215 0 0 0
t216 0 0 0
t217 0 0 0
t219 0 0 0
t221 0 0 0
t222 0 0 0
t223 0 0 0
t226 0 0 0
t227 0 0 0
t228 0 0 0
t232 0 0 0
t233 0 0 0
t236 0 0 0
t237 0 0 0
t240 0 0 0
t241 0 0 0
t242 0 0 0
t243 0 0 0
t246 0 0 0
t247 0 0 0
t248 0 0 0
t251 0 0 0
t254 0 0 0
t260 0 0 0
t262 0 0 0
t263 0 0 0
t264 0 0 0
t265 0 0 0
t266 0 0 0
t267 0 0 0
t268 0 0 0
t270 0 0 0
t271 0 0 0
t272 0 0 0
t273 0 0 0
t274 0 0 0
t275 0 0 0
t276 0 0 0
t280 0 0 0
t281 0 0 0
t282 0 0 0
t283 0 0 0
t284 0 0 0
t285 0 0 0
t288 0 0 0
t289 0 0 0
t290 0 0 0
t291 0 0 0
t292 0 0 0
t297 0 0 0
t301 0 0 0
t302 0 0 0
t303 0 0 0
t304 0 0 0
t309 0 0 0
t311 0 0 0
t315 0 0 0
t316 0 0 0
