taxon int_1 int_2 int_3
t1 665 29 53
t2 0 0 0
t3 0 0 0
t4 0 0 0
t5 0 0 0
t6 0 0 0
t7 0 0 0
t8 0 0 0
t12 0 0 0
t13 0 0 0
t18 0 0 0
t19 0 0 0
t21 0 0 0
t22 0 0 0
t23 0 0 0
t24 0 0 0
t25 0 0 0
t31 0 0 0
t34 0 0 0
t35 0 0 0
t36 0 0 0
t37 0 0 0
t38 0 0 0
t39 0 0 0
t44 0 0 0
t45 0 0 0
t46 0 0 0
t50 0 0 0
t51 0 0 0
t52 0 0 0
t54 0 0 0
t55 0 0 0
t56 0 0 0
t57 0 0 0
t61 0 0 0
t62 0 0 0
t63 0 0 0
t64 0 0 0
t66 0 0 0
t67 0 0 0
t69 0 0 0
t70 0 0 0
t72 0 0 0
t73 0 0 0
t74 0 0 0
t76 0 0 0
t77 0 0 0
t78 0 0 0
t79 0 0 0
t80 0 0 0
t83 0 0 0
t84 0 0 0
t86 0 0 0
t87 0 0 0
t89 0 0 0
t90 0 0 0
t91 0 0 0
t92 0 0 0
t93 0 0 0
t97 0 0 0
t98 0 0 0
t99 0 0 0
t100 0 0 0
t102 0 0 0
t103 0 0 0
t105 0 0 0
t107 0 0 0
t108 0 0 0
t112 0 0 0
t113 0 0 0
t116 0 0 0
t117 0 0 0
t119 0 0 0
t121 0 0 0
t123 0 0 0
t124 0 0 0
t125 0 0 0
t127 0 0 0
t128 0 0 0
t129 0 0 0
t130 0 0 0
t131 0 0 0
t132 0 0 0
t133 0 0 0
t134 0 0 0
t135 0 0 0
t136 0 0 0
t138 0 0 0
t139 0 0 0
t140 0 0 0
t144 0 0 0
t145 0 0 0
t146 0 0 0
t147 0 0 0
t148 0 0 0
t153 0 0 0
t154 0 0 0
t156 0 0 0
t159 0 0 0
t160 0 0 0
t161 0 0 0
t162 0 0 0
t163 0 0 0
t164 0 0 0
t165 0 0 0
t166 0 0 0
t167 0 0 0
t169 0 0 0
t170 0 0 0
t171 0 0 0
t172 0 0 0
t175 0 0 0
t176 0 0 0
t177 0 0 0
t178 0 0 0
t179 0 0 0
t180 0 0 0
t181 0 0 0
t183 0 0 0
t184 0 0 0
t186 0 0 0
t187 0 0 0
t189 0 0 0
t190 0 0 0
t192 0 0 0
t193 0 0 0
t194 0 0 0
t195 0 0 0
t205 0 0 0
t206 0 0 0
t209 0 0 0
t212 0 0 0
t213 0 0 0
t214 0 0 0
t215 0 0 0
t216 0 0 0
t219 0 0 0
t220 0 0 0
t221 0 0 0
t222 0 0 0
t224 0 0 0
t228 0 0 0
t229 0 0 0
t231 0 0 0
t232 0 0 0
t234 0 0 0
t235 0 0 0
t237 0 0 0
t240 0 0 0
t242 0 0 0
t243 0 0 0
t244 0 0 0
t245 0 0 0
t251 0 0 0
t253 0 0 0
t254 0 0 0
t255 0 0 0
t256 0 0 0
t257 0 0 0
t263 0 0 0
t264 0 0 0
t265 0 0 0
t267 0 0 0
t268 0 0 0
t269 0 0 0
t270 0 0 0
t271 0 0 0
t272 0 0 0
t276 0 0 0
t277 0 0 0
t278 0 0 0
t281 0 0 0
t282 0 0 0
t283 0 0 0
t284 0 0 0
t286 0 0 0
t290 0 0 0
t291 0 0 0
t292 0 0 0
t295 0 0 0
t296 0 0 0
t298 0 0 0
t300 0 0 0
t302 0 0 0
t303 0 0 0
t304 0 0 0
t305 0 0 0
t306 0 0 0
t307 0 0 0
t308 0 0 0
t311 0 0 0
t312 0 0 0
t313 0 0 0
t316 0 0 0
t317 0 0 0
t318 0 0 0
t322 0 0 0
t323 0 0 0
t324 0 0 0
t325 0 0 0
t327 0 0 0
t328 0 0 0
t329 0 0 0
t330 0 0 0
t331 0 0 0
t333 0 0 0
t335 0 0 0
t338 0 0 0
t339 0 0 0
t341 0 0 0
t342 0 0 0
t343 0 0 0
t344 0 0 0
t350 0 0 0
t352 0 0 0
t353 0 0 0
t354 0 0 0
t356 0 0 0
t359 0 0 0
t361 0 0 0
t363 0 0 0
t367 0 0 0
t368 0 0 0
t369 0 0 0
t370 0 0 0
t371 0 0 0
t373 0 0 0
t375 0 0 0
t379 0 0 0
t380 0 0 0
t382 0 0 0
t383 0 0 0
t386 0 0 0
t387 0 0 0
